id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,ENDO2,p2session2data,P2,8870595475,6,6,1,14,1
2,ENDO2,p2session2data,P2,6667413428,9,9,1,35,1
3,ENDO2,p2session2data,P2,7643739072,8,20,1,8,1
4,ENDO2,p2session2data,P2,6102244707,24,24,1,10,1
5,ENDO2,p2session2data,P2,4763335338,25,25,1,23,1
6,ENDO2,p2session2data,P2,9540600050,26,26,1,4,1
7,ENDO2,p2session2data,P2,1590239915,28,28,1,5,1
8,ENDO2,p2session2data,P2,6363224330,10,10,1,40,2
9,ENDO2,p2session2data,P2,3687624163,10,10,1,44,2
10,ENDO2,p2session2data,P2,8447327372,14,14,1,19,3
11,ENDO2,p2session2data,P2,3754378666,14,14,1,,3
12,ENDO2,p2session2data,P2,5683739503,14,14,1,17,3
13,ENDO2,p2session2data,P2,4387666970,14,30,1,55,3
14,ENDO2,p2session2data,P2,7804494393,10,30,1,,3
15,ENDO2,p2session2data,P2,2806049031,7,30,1,51,3
16,ENDO2,p2session2data,P2,1585152288,8,8,1,25,5
17,ENDO2,p2session2data,P2,3990936960,8,8,1,27,5
18,ENDO2,p2session2data,P2,9327479553,8,8,1,29,5
19,ENDO2,p2session2data,P2,9729466364,8,8,1,28,5
20,ENDO2,p2session2data,P2,3964457977,8,8,1,,5
21,ENDO2,p2session2data,P2,9537913093,7,7,1,,7
22,ENDO2,p2session2data,P2,5279188668,7,7,1,,7
23,ENDO2,p2session2data,P2,7639986174,7,7,1,63,7
24,ENDO2,p2session2data,P2,2473790917,7,7,1,61,7
25,ENDO2,p2session2data,P2,6637802104,7,7,1,,7
26,ENDO2,p2session2data,P2,9985643252,7,7,1,,7
27,ENDO2,p2session2data,P2,3679130841,7,7,1,,7
28,ENDO2,p2session2data,P2,7084765326,11,11,1,,13
29,ENDO2,p2session2data,P2,9484596819,11,11,1,,13
30,ENDO2,p2session2data,P2,5027484685,11,11,1,,13
31,ENDO2,p2session2data,P2,2001233140,11,11,1,,13
32,ENDO2,p2session2data,P2,3028297253,11,11,1,,13
33,ENDO2,p2session2data,P2,7447888413,11,11,1,,13
34,ENDO2,p2session2data,P2,3951702808,11,11,1,,13
35,ENDO2,p2session2data,P2,9832808335,11,11,1,,13
36,ENDO2,p2session2data,P2,8442086792,11,11,1,,13
37,ENDO2,p2session2data,P2,6287060845,11,11,1,,13
38,ENDO2,p2session2data,P2,9513762590,11,11,1,,13
39,ENDO2,p2session2data,P2,5092292425,11,11,1,,13
40,ENDO2,p2session2data,P2,4093635611,10,11,1,,13
