id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,ENDO2,p2session2data,P2,2473790917,7,7,1,21,1
2,ENDO2,p2session2data,P2,3964457977,8,8,1,16,1
3,ENDO2,p2session2data,P2,6667413428,9,9,1,2,1
4,ENDO2,p2session2data,P2,7643739072,8,20,1,3,1
5,ENDO2,p2session2data,P2,6102244707,24,24,1,4,1
6,ENDO2,p2session2data,P2,9540600050,26,26,1,6,1
7,ENDO2,p2session2data,P2,1590239915,28,28,1,7,1
8,ENDO2,p2session2data,P2,2806049031,7,30,1,,1
9,ENDO2,p2session2data,P2,6363224330,10,10,1,8,2
10,ENDO2,p2session2data,P2,3687624163,10,10,1,9,2
11,ENDO2,p2session2data,P2,8447327372,14,14,1,,3
12,ENDO2,p2session2data,P2,3754378666,14,14,1,11,3
13,ENDO2,p2session2data,P2,5683739503,14,14,1,,3
14,ENDO2,p2session2data,P2,4093635611,10,11,1,,9
15,ENDO2,p2session2data,P2,5092292425,11,11,1,,9
16,ENDO2,p2session2data,P2,9513762590,11,11,1,,9
17,ENDO2,p2session2data,P2,2001233140,11,11,1,,9
18,ENDO2,p2session2data,P2,3028297253,11,11,1,,9
19,ENDO2,p2session2data,P2,8442086792,11,11,1,,9
20,ENDO2,p2session2data,P2,9484596819,11,11,1,30,9
21,ENDO2,p2session2data,P2,9832808335,11,11,1,31,9
22,ENDO2,p2session2data,P2,6287060845,11,11,1,33,9
