id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,ENDO2,p2session5data,P2,2473790917,7,7,1,1,1
2,ENDO2,p2session5data,P2,3964457977,8,8,1,2,1
3,ENDO2,p2session5data,P2,3687624163,10,10,1,4,1
4,ENDO2,p2session5data,P2,9540600050,26,26,1,7,1
5,ENDO2,p2session5data,P2,2001233140,11,11,1,11,2
6,ENDO2,p2session5data,P2,9513762590,11,11,1,,2
7,ENDO2,p2session5data,P2,2001233140,11,11,2,11,2
8,ENDO2,p2session5data,P2,9513762590,11,11,2,,2
9,ENDO2,p2session5data,P2,9540600050,26,26,2,7,1
10,ENDO2,p2session5data,P2,3687624163,10,10,2,4,1
11,ENDO2,p2session5data,P2,3964457977,8,8,2,2,1
12,ENDO2,p2session5data,P2,2473790917,7,7,2,1,1
