id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,ENDO3,qlhksc2w06ipyut4,P1,7831336247,11,11,,,,11,11,Unobserved,,2018-08-03 18:05:12.806671+00:00,64,Female,Non hispanic,White,49,High school or equivalent,44,"$30,000 - $39,999","To make as much money for each member of the group as possible while still being honest. I would say it's all about trust, morals and being honest.",2,It was great =)
2,ENDO3,n498516306ipyut4,P1,7795219760,9,15,,,,15,15,Unobserved,,2018-08-03 18:18:19.146596+00:00,79,Male,Non hispanic,White,49,Some college,32,"$50,000 - $59,999",Trust of information passed on from one person to another. should you lie to increase your earnings ?,2,I think it was explained very well.
3,ENDO3,w23s3f3r06ipyut4,P1,1014935521,10,10,,,,10,10,Obseerved,,2018-08-03 20:01:04.998630+00:00,74,Male,Non hispanic,White,34,College diploma,42,"< $10,000",To play a game and observe the players,3,You could give us more money!
4,ENDO3,crmwq3t106ipyut4,P1,7321219576,7,7,,,,7,7,Obseerved,,2018-08-03 20:06:20.799922+00:00,80,Female,Non hispanic,White,30,High school or equivalent,11,"$80,000 - $99,999",predicting what others will do in a certain situation,1,"None. I enjoyed it, Thank you!"
5,ENDO3,h4bo0m2n06ipyut4,P1,6345250008,14,14,,,,30,30,Unobserved,,2018-08-03 20:27:37.932897+00:00,66,Male,Non hispanic,White,30,College diploma,43,"$70,000 - $79,999","loyalty?, greed?",2,"it is all ok. m,aybe playing the actual game and interacting with other players"
6,ENDO3,eylnr12c06ipyut4,P1,8835567302,12,12,,,,12,12,Obseerved,,2018-08-03 20:49:47.993588+00:00,105,Male,Non hispanic,White,20,Some college,29,"$20,000 - $29,999",To maximize earnings by sending a hidden message to other people one-by-one.,2,Nothing! Thank you!
7,ENDO3,liaktucm06ipyut4,P1,8389108555,25,25,,,,27,25,Unobserved,,2018-08-03 20:56:30.242958+00:00,56,Male,Non hispanic,White,28,College diploma,21,"$30,000 - $39,999",To see how accurately people report information when they have a stake in reporting falsely.,3,"The directions were kind of confusing, but I am not sure how to make them better."
8,ENDO3,krw6posa06ipyut4,P1,5906512765,7,30,,,,30,30,Obseerved,,2018-08-03 20:57:46.405096+00:00,55,Male,Non hispanic,White,53,College diploma,30,"$60,000 - $69,999",The goal is to have P3 submit 30 as the final message,1,nothing
9,ENDO3,c41diodg06ipyut4,P1,8186459480,8,30,,,,30,30,Obseerved,,2018-08-03 21:42:22.959841+00:00,144,Male,Non hispanic,White,35,Masters degree,40,"$40,000 - $49,999",If people lie about a result in order to acheive a higher bonus,3,Everything worked well
10,ENDO3,kx5femea06ipyut4,P1,6072885005,7,7,,,,7,7,Obseerved,,2018-08-03 22:16:11.425271+00:00,17,Male,Non hispanic,Hispanic/Latino/Latina,37,High school or equivalent,4,"$30,000 - $39,999",To see how truthful each member of the group would be in reporting the correct information.,3,N/A
