id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,ENDO3,p2session2data,P2,9363333871,9,9,1,1
2,ENDO3,p2session2data,P2,9000579811,10,10,1,1
3,ENDO3,p2session2data,P2,7750223582,14,14,1,1
4,ENDO3,p2session2data,P2,7785785475,7,7,1,3
5,ENDO3,p2session2data,P2,6072885005,7,7,1,3
6,ENDO3,p2session2data,P2,8550708476,8,7,1,3
7,ENDO3,p2session2data,P2,7785785475,7,7,2,3
8,ENDO3,p2session2data,P2,8550708476,8,7,2,3
9,ENDO3,p2session2data,P2,6072885005,7,7,2,3
10,ENDO3,p2session2data,P2,7750223582,14,14,2,1
11,ENDO3,p2session2data,P2,9000579811,10,10,2,1
12,ENDO3,p2session2data,P2,9363333871,9,9,2,1
