id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,EXO2,8ly74zfd5p8s66gn,P1,9752200886,9,30,,,,30,,Obseerved,,2018-08-03 18:20:33.324508+00:00,57,Male,Non hispanic,White,45,Some college,30,"$30,000 - $39,999",Earn a bonus based on working together with another person.,3,no problems
2,EXO2,62z5iczj5p8s66gn,P1,9698912146,12,12,,,,12,,Obseerved,,2018-08-03 18:28:16.599554+00:00,54,Female,Non hispanic,Hispanic/Latino/Latina,38,High school or equivalent,1,"$10,000 - $19,999",How well strangers can trust each other when providing information.,3,No way that I can think of right now.
3,EXO2,z5n7ek275p8s66gn,P1,3748488111,8,12,,,,18,,Obseerved,,2018-08-03 19:24:44.303142+00:00,30,Male,Non hispanic,White,32,College diploma,23,"$70,000 - $79,999",To see if I lied about making more money,2,No comment
4,EXO2,xb6n9fjm5p8s66gn,P1,9003844776,7,5,,,,5,,Obseerved,,2018-08-03 19:52:08.275005+00:00,8,Female,Non hispanic,White,26,Some college,5,"$70,000 - $79,999",it is interesting,3,yes i improve myself
5,EXO2,50yprcre5p8s66gn,P1,5165534929,11,11,,,,11,,Obseerved,,2018-08-03 20:17:17.063334+00:00,41,Male,Non hispanic,Hispanic/Latino/Latina,34,< high school,5,"$80,000 - $99,999","An experiment in ethics, I suppose. I can't see any reason why one wouldn't want to inflate the number, aside from just trying to be super-ethical.",4,N/A
6,EXO2,a9sgliib5p8s66gn,P1,4467416950,8,8,,,,8,,Obseerved,,2018-08-03 20:19:41.519527+00:00,12,Male,Non hispanic,White,24,Some college,3,"$10,000 - $19,999",I don't know,1,N/A; I had a good experience.
7,EXO2,5qpctxb95p8s66gn,P1,8166373138,7,7,,,,7,,Obseerved,,2018-08-03 20:37:11.091495+00:00,113,Female,Non hispanic,White,33,College diploma,28,"< $10,000",Probability of reporting correct outcomes to earn reward,3,you could use faster servers.
8,EXO2,pjvv5aim5p8s66gn,P1,4646006665,9,9,,,,9,,Obseerved,,2018-08-03 20:49:46.873405+00:00,79,Male,Non hispanic,Hispanic/Latino/Latina,22,Some college,5,I do not wish to report my income.,You need to draw a number and message another player that number. The goal is to get that other player to send another message with that number.,2,It seemed fine the way it is.
9,EXO2,p6cl0oah5p8s66gn,P1,6342429261,8,8,,,,10,,Obseerved,,2018-08-03 20:50:28.886551+00:00,118,Male,Non hispanic,White,28,College diploma,38,"$50,000 - $59,999",A study of honesty when deceit would be beneficial.,2,The survey was fine and worked properly. I understood directions on first attempt.
10,EXO2,zxvmftwg5p8s66gn,P1,6564301003,7,30,,,,27,,Obseerved,,2018-08-03 21:41:54.584714+00:00,113,Male,Non hispanic,White,35,College diploma,47,"$70,000 - $79,999",No idea.,4,Nothing comes to mind.
