id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,EXO2,p2session2data,P2,2666770215,2,2,1,1,1
2,EXO2,p2session2data,P2,9003844776,7,5,1,8,1
3,EXO2,p2session2data,P2,8895344384,6,6,1,,1
4,EXO2,p2session2data,P2,1608652148,14,14,1,18,1
5,EXO2,p2session2data,P2,5075160120,8,25,1,13,1
6,EXO2,p2session2data,P2,3046010988,26,26,1,4,1
7,EXO2,p2session2data,P2,7234520149,28,28,1,5,1
8,EXO2,p2session2data,P2,8166373138,7,7,1,32,3
9,EXO2,p2session2data,P2,9056590270,7,7,1,31,3
10,EXO2,p2session2data,P2,8684020782,7,7,1,30,3
11,EXO2,p2session2data,P2,8692471146,9,9,1,40,3
12,EXO2,p2session2data,P2,3075016909,9,9,1,42,3
13,EXO2,p2session2data,P2,9686919416,9,9,1,43,3
14,EXO2,p2session2data,P2,6564301003,7,30,1,54,3
15,EXO2,p2session2data,P2,5311096410,11,30,1,,3
16,EXO2,p2session2data,P2,7785765309,10,30,1,48,3
17,EXO2,p2session2data,P2,4249944500,12,12,1,24,4
18,EXO2,p2session2data,P2,9698912146,12,12,1,23,4
19,EXO2,p2session2data,P2,4042409109,12,12,1,,4
20,EXO2,p2session2data,P2,7771552630,12,12,1,26,4
21,EXO2,p2session2data,P2,7520940455,8,8,1,,11
22,EXO2,p2session2data,P2,4467416950,8,8,1,,11
23,EXO2,p2session2data,P2,6342429261,8,8,1,,11
24,EXO2,p2session2data,P2,6573520607,8,8,1,,11
25,EXO2,p2session2data,P2,9967902287,8,8,1,,11
26,EXO2,p2session2data,P2,7116076320,8,8,1,,11
27,EXO2,p2session2data,P2,7241071921,8,8,1,,11
28,EXO2,p2session2data,P2,3518723422,8,8,1,,11
29,EXO2,p2session2data,P2,8699984355,8,8,1,,11
30,EXO2,p2session2data,P2,8590816092,8,8,1,,11
31,EXO2,p2session2data,P2,7754879026,8,8,1,,11
32,EXO2,p2session2data,P2,7987006666,10,10,1,,15
33,EXO2,p2session2data,P2,4678443597,10,10,1,,15
34,EXO2,p2session2data,P2,6149836000,10,10,1,,15
35,EXO2,p2session2data,P2,5864822651,10,10,1,,15
36,EXO2,p2session2data,P2,5204022497,10,10,1,,15
37,EXO2,p2session2data,P2,7405186626,10,10,1,,15
38,EXO2,p2session2data,P2,2536455599,10,10,1,,15
39,EXO2,p2session2data,P2,5873147351,10,10,1,,15
40,EXO2,p2session2data,P2,5782626993,10,10,1,,15
41,EXO2,p2session2data,P2,3195574961,10,10,1,,15
42,EXO2,p2session2data,P2,3715444280,10,10,1,,15
43,EXO2,p2session2data,P2,6426126705,10,10,1,,15
44,EXO2,p2session2data,P2,2364409399,10,10,1,,15
45,EXO2,p2session2data,P2,9321305601,10,10,1,,15
46,EXO2,p2session2data,P2,1299303278,10,10,1,,15
