id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,EXO2,p2session2data,P2,8692471146,9,9,1,13,1
2,EXO2,p2session2data,P2,3046010988,26,26,1,6,1
3,EXO2,p2session2data,P2,7785765309,10,30,1,14,1
4,EXO2,p2session2data,P2,4042409109,12,12,1,17,3
5,EXO2,p2session2data,P2,7771552630,12,12,1,20,3
6,EXO2,p2session2data,P2,9698912146,12,12,1,18,3
7,EXO2,p2session2data,P2,6573520607,8,8,1,23,5
8,EXO2,p2session2data,P2,9967902287,8,8,1,,5
9,EXO2,p2session2data,P2,6342429261,8,8,1,30,5
10,EXO2,p2session2data,P2,7520940455,8,8,1,,5
11,EXO2,p2session2data,P2,8590816092,8,8,1,31,5
12,EXO2,p2session2data,P2,3715444280,10,10,1,,12
13,EXO2,p2session2data,P2,5864822651,10,10,1,34,12
14,EXO2,p2session2data,P2,5873147351,10,10,1,38,12
15,EXO2,p2session2data,P2,3195574961,10,10,1,,12
16,EXO2,p2session2data,P2,2364409399,10,10,1,,12
17,EXO2,p2session2data,P2,7987006666,10,10,1,,12
18,EXO2,p2session2data,P2,7405186626,10,10,1,37,12
19,EXO2,p2session2data,P2,2536455599,10,10,1,,12
20,EXO2,p2session2data,P2,9321305601,10,10,1,,12
21,EXO2,p2session2data,P2,6149836000,10,10,1,,12
22,EXO2,p2session2data,P2,4678443597,10,10,1,,12
23,EXO2,p2session2data,P2,5782626993,10,10,1,,12
