id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,EXO2,p2session2data,P2,8692471146,9,9,1,1,1
2,EXO2,p2session2data,P2,7785765309,10,30,1,3,1
3,EXO2,p2session2data,P2,4042409109,12,12,1,4,2
4,EXO2,p2session2data,P2,9698912146,12,12,1,6,2
5,EXO2,p2session2data,P2,6573520607,8,8,1,7,3
6,EXO2,p2session2data,P2,9967902287,8,8,1,8,3
7,EXO2,p2session2data,P2,8590816092,8,8,1,11,3
8,EXO2,p2session2data,P2,9321305601,10,10,1,20,4
9,EXO2,p2session2data,P2,2364409399,10,10,1,16,4
10,EXO2,p2session2data,P2,3715444280,10,10,1,12,4
11,EXO2,p2session2data,P2,6149836000,10,10,1,21,4
