id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,EXO3,p2session2data,P2,1722430142,6,18,1,1
2,EXO3,p2session2data,P2,7261234010,21,21,1,1
3,EXO3,p2session2data,P2,3160315934,11,24,1,1
4,EXO3,p2session2data,P2,6310435231,1,29,1,1
5,EXO3,p2session2data,P2,2647775137,6,6,1,2
6,EXO3,p2session2data,P2,5209532547,6,6,1,2
7,EXO3,p2session2data,P2,5209532547,6,6,2,2
8,EXO3,p2session2data,P2,2647775137,6,6,2,2
9,EXO3,p2session2data,P2,6310435231,1,29,2,1
10,EXO3,p2session2data,P2,3160315934,11,24,2,1
11,EXO3,p2session2data,P2,7261234010,21,21,2,1
12,EXO3,p2session2data,P2,1722430142,6,18,2,1
