id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,EXO3,k5bzx5yv6aaq1xxk,P1,4703895573,2,2,1,1
2,EXO3,vx5734b36aaq1xxk,P1,6649932562,5,5,1,1
3,EXO3,13uk3x806aaq1xxk,P1,7662422993,8,16,1,1
4,EXO3,ypyu84x46aaq1xxk,P1,1722430142,6,18,1,1
5,EXO3,y25usr486aaq1xxk,P1,3160315934,11,24,1,1
6,EXO3,7jalz48j6aaq1xxk,P1,1279953447,26,26,1,1
7,EXO3,fgw21z146aaq1xxk,P1,6310435231,1,29,1,1
8,EXO3,ssj78ftd6aaq1xxk,P1,2647775137,6,6,1,2
9,EXO3,a8ka8b3i6aaq1xxk,P1,5209532547,6,6,1,2
10,EXO3,ejwvs9cx6aaq1xxk,P1,7261234010,21,21,1,2
11,EXO3,di6hvnje6aaq1xxk,P1,1542130754,21,21,1,2
12,EXO3,iaypm9e16aaq1xxk,P1,4027546892,12,12,1,3
13,EXO3,sxfftv7s6aaq1xxk,P1,8391276642,12,12,1,3
14,EXO3,ee39sxkm6aaq1xxk,P1,3541440800,12,12,1,3
15,EXO3,soyo63mo6aaq1xxk,P1,3695604066,20,20,1,3
16,EXO3,1uc1hf1t6aaq1xxk,P1,2560820533,9,20,1,3
17,EXO3,dp3ro84z6aaq1xxk,P1,9764562332,5,20,1,3
18,EXO3,syxth8ui6aaq1xxk,P1,4499962009,8,8,1,4
19,EXO3,42yza7qh6aaq1xxk,P1,8045217504,8,8,1,4
20,EXO3,5khe5g216aaq1xxk,P1,6610758495,8,8,1,4
21,EXO3,hc9zxqpn6aaq1xxk,P1,2141497070,8,8,1,4
22,EXO3,j20iprkg6aaq1xxk,P1,8584914089,7,7,1,5
23,EXO3,s18zfy3d6aaq1xxk,P1,6615755344,7,7,1,5
24,EXO3,4ittcknb6aaq1xxk,P1,1725609459,7,7,1,5
25,EXO3,whqhosxx6aaq1xxk,P1,4295337579,7,7,1,5
26,EXO3,lpvxxyyi6aaq1xxk,P1,3066123919,7,7,1,5
