id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,FRST2,05s53q462sz06m0p,P1,2895819666,11,30,,,,,,,,2018-08-03 17:31:33.700610+00:00,44,Male,Non hispanic,White,42,College diploma,33,"$40,000 - $49,999",I'm really not sure here.,3,not sure
2,FRST2,hdtncila2sz06m0p,P1,4496534180,6,6,,,,,,,,2018-08-03 17:40:40.351337+00:00,78,Female,Non hispanic,White,39,High school or equivalent,10,"$10,000 - $19,999",They're studying how many people will lie to get money.,3,Nothing.
3,FRST2,fg638nga2sz06m0p,P1,2237172943,14,14,,,,,,,,2018-08-03 17:57:41.544232+00:00,66,Male,Non hispanic,White,59,Some college,38,"$40,000 - $49,999",Research on self reporting.,1,"I think it was fine the way it was, but thank you for asking."
4,FRST2,lepnjsjq2sz06m0p,P1,8232594617,8,8,,,,,,,,2018-08-03 19:42:16.063426+00:00,45,Female,Non hispanic,White,35,College diploma,32,"< $10,000","I think you're looking to see whether players will lie for more money, and whether sharing that money with another will change the likelihood.",3,n/a
5,FRST2,h7euyiei2sz06m0p,P1,5713145960,12,12,,,,,,,,2018-08-03 20:25:52.472180+00:00,105,Male,Non hispanic,White,39,Some college,5,"$20,000 - $29,999",To see if P1 is honest or not.,3,"It has been nice in this way, thank you so much! :)"
6,FRST2,jr1w3rmz2sz06m0p,P1,6607921254,14,14,,,,,,,,2018-08-03 20:36:53.514248+00:00,66,Male,Non hispanic,Hispanic/Latino/Latina,42,College diploma,43,"$40,000 - $49,999",How honest participants would be in reporting the final message,1,I love it just the way it is
7,FRST2,tsu1ffr52sz06m0p,P1,3500168071,8,30,,,,,,,,2018-08-03 21:07:15.395958+00:00,45,Male,Non hispanic,White,24,College diploma,32,"< $10,000",I do not know.,3,You could add more questions.
8,FRST2,a328qrm32sz06m0p,P1,8060472588,14,20,,,,,,,,2018-08-03 21:43:35.235087+00:00,66,Male,Non hispanic,White,31,College diploma,6,"$80,000 - $99,999",Maximize your money,2,it was fine as is
9,FRST2,ne01l5ku2sz06m0p,P1,6082255450,7,20,,,,,,,,2018-08-03 21:46:27.555848+00:00,132,Male,Non hispanic,Hispanic/Latino/Latina,24,College diploma,43,"$10,000 - $19,999",You pick a number and are asked to report the number.,1,"Nothing. Overall, it was p good."
10,FRST2,gnfvc5g82sz06m0p,P1,9082255647,7,7,,,,,,,,2018-08-03 22:16:16.172600+00:00,55,Male,Non hispanic,Black/African American,22,College diploma,7,"< $10,000",How a person will make decisions based on incentive and also the presence of other people.,3,N/A
11,FRST2,n9hf0s3c2sz06m0p,P1,2799127660,10,10,,,,,,,,2018-08-03 22:20:18.322798+00:00,102,Female,Non hispanic,White,43,Some college,36,"$10,000 - $19,999",I would describe it as a game of luck and skill.,4,none
12,FRST2,9k444qvv2sz06m0p,P1,3682609859,21,21,,,,,,,,2018-08-03 23:31:18.989520+00:00,40,Male,Non hispanic,White,33,Professional post-secondary degree or doctoral degree,43,"$70,000 - $79,999",It is very easy to select a hidden number which I must send as a final message and receive a reward for the hidden number shown,1,"Nothing, so it was very good the survey I liked a lot, thank you"
13,FRST2,cp08s9pa2sz06m0p,P1,5637397636,12,12,,,,,,,,2018-08-03 23:31:51.299512+00:00,54,Male,Non hispanic,White,38,High school or equivalent,5,"$10,000 - $19,999",Attempting to discern whether people are likely to honestly answer a question when answering dishonestly will earn them more money,2,"Nothing really, it was fairly clear and easy"
14,FRST2,rgk70qzd2sz06m0p,P1,6665624697,11,11,,,,,,,,2018-08-03 23:34:03.913722+00:00,64,Male,Non hispanic,White,46,Some college,14,"$20,000 - $29,999",p1 reports the number picked from the grid,3,You could change the pay to 500 dollars
15,FRST2,f3j78fp62sz06m0p,P1,7938179179,9,30,,,,,,,,2018-08-03 23:45:13.635157+00:00,100,Male,Non hispanic,White,27,Some college,41,"$10,000 - $19,999",the goal is to see if the player will lie about the hidden number or not to get more earnings.,2,longer hit timer. add a progress bar.   A3EG4C9T4F5DUR
16,FRST2,74uopzok2sz06m0p,P1,2555370147,8,8,,,,,,,,2018-08-03 23:46:38.806604+00:00,67,Male,Non hispanic,White,54,Some college,50,"$20,000 - $29,999","You are relied on to correctly, based on honesty reall, to report what ever the hidden number is. It is a honesty game",4,"well, play with more than just one person. because its obvious to me that this is a one person game."
17,FRST2,qh4m2v0u2sz06m0p,P1,3368706666,30,30,,,,,,,,2018-08-03 23:50:26.565050+00:00,52,Female,Non hispanic,Hispanic/Latino/Latina,40,Some college,4,"< $10,000","Pick a good card, what is best for one is best for all. Read all directions.",2,"Hehehehe more money of course, but other than that it is a fine study."
18,FRST2,9ax33kbh2sz06m0p,P1,1701632001,10,10,,,,,,,,2018-08-04 00:08:22.204234+00:00,46,Female,Non hispanic,White,26,Some college,30,"$20,000 - $29,999",Choose a card from a group of 144 cards with numbers on them (some numbers are more prevalent than others) and report the value of that number in order to receive a bonus ($0.05 x the chosen number).,3,"nothing, it all went fine."
19,FRST2,vxuht22j2sz06m0p,P1,7554579939,9,9,,,,,,,,2018-08-04 00:11:03.261254+00:00,79,Female,Non hispanic,Asian,32,Some college,30,"$10,000 - $19,999",its just a decision making study,2,make instructions more effective and easy to understand.
20,FRST2,7a4kx23d2sz06m0p,P1,3300031883,7,7,,,,,,,,2018-08-04 00:20:47.603231+00:00,55,Female,Non hispanic,White,39,College diploma,22,"$50,000 - $59,999","odd, you click on a number and type it into a box sending a message",2,made the instruction clearer
21,FRST2,95gqdjeb2sz06m0p,P1,8684069711,8,20,,,,,,,,2018-08-04 00:22:43.830100+00:00,67,Male,Non hispanic,White,29,College diploma,43,"$10,000 - $19,999",Literally: are you an honest person?,3,Nothing. Everything was great!
22,FRST2,rc8vaigo2sz06m0p,P1,1173232146,6,18,,,,,,,,2018-08-04 00:32:39.749284+00:00,78,Female,Non hispanic,White,41,College diploma,38,"$70,000 - $79,999",Decision making for an outcome,1,"Nothing, it was perfect"
23,FRST2,t39c2o8l2sz06m0p,P1,4898727764,11,11,,,,,,,,2018-08-04 00:32:50.632148+00:00,64,Female,Non hispanic,White,25,College diploma,30,"$20,000 - $29,999",Honesty in games of chance,1,N/A
24,FRST2,4lheawlk2sz06m0p,P1,5743434758,13,13,,,,,,,,2018-08-04 00:58:40.102818+00:00,70,Female,Non hispanic,White,34,Some college,6,"$30,000 - $39,999",Determining how earnings affect a reporting decision.,1,N/A
