id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,FRST2,p2session2data,P2,4150554594,9,9,1,1
2,FRST2,p2session2data,P2,2237172943,14,14,1,1
3,FRST2,p2session2data,P2,7452601516,9,15,1,1
4,FRST2,p2session2data,P2,3667731953,1,18,1,1
5,FRST2,p2session2data,P2,8684069711,8,20,1,1
6,FRST2,p2session2data,P2,9508980165,22,22,1,1
7,FRST2,p2session2data,P2,3867400464,11,27,1,1
8,FRST2,p2session2data,P2,8773089611,6,6,1,2
9,FRST2,p2session2data,P2,4496534180,6,6,1,2
10,FRST2,p2session2data,P2,3300031883,7,7,1,3
11,FRST2,p2session2data,P2,8429103641,7,7,1,3
12,FRST2,p2session2data,P2,9082255647,7,7,1,3
13,FRST2,p2session2data,P2,9082255647,7,7,2,3
14,FRST2,p2session2data,P2,8429103641,7,7,2,3
15,FRST2,p2session2data,P2,3300031883,7,7,2,3
16,FRST2,p2session2data,P2,8773089611,6,6,2,2
17,FRST2,p2session2data,P2,4496534180,6,6,2,2
18,FRST2,p2session2data,P2,3867400464,11,27,2,1
19,FRST2,p2session2data,P2,9508980165,22,22,2,1
20,FRST2,p2session2data,P2,8684069711,8,20,2,1
21,FRST2,p2session2data,P2,3667731953,1,18,2,1
22,FRST2,p2session2data,P2,7452601516,9,15,2,1
23,FRST2,p2session2data,P2,2237172943,14,14,2,1
24,FRST2,p2session2data,P2,4150554594,9,9,2,1
