id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,FRST2,4lheawlk2sz06m0p,P1,5743434758,13,13,1,1
2,FRST2,dgmcqi6x2sz06m0p,P1,7452601516,9,15,1,1
3,FRST2,y0a3fdty2sz06m0p,P1,8086791837,7,19,1,1
4,FRST2,9k444qvv2sz06m0p,P1,3682609859,21,21,1,1
5,FRST2,fk5cgouk2sz06m0p,P1,1318887836,24,24,1,1
6,FRST2,e4feldb82sz06m0p,P1,5377894888,12,25,1,1
7,FRST2,imr2uuk02sz06m0p,P1,3667731953,1,18,1,2
8,FRST2,rc8vaigo2sz06m0p,P1,1173232146,6,18,1,2
9,FRST2,xbbcw6tg2sz06m0p,P1,6983399457,22,22,1,2
10,FRST2,uhtx8q6c2sz06m0p,P1,9508980165,22,22,1,2
11,FRST2,wqdndueh2sz06m0p,P1,5305733093,27,27,1,2
12,FRST2,t8j0jjod2sz06m0p,P1,3867400464,11,27,1,2
13,FRST2,fjaucpax2sz06m0p,P1,8773089611,6,6,1,3
14,FRST2,hdtncila2sz06m0p,P1,4496534180,6,6,1,3
15,FRST2,8ltfb5up2sz06m0p,P1,3779679112,6,6,1,3
16,FRST2,vxuht22j2sz06m0p,P1,7554579939,9,9,1,3
17,FRST2,ylkx28ai2sz06m0p,P1,3962658755,9,9,1,3
18,FRST2,g68zg1a52sz06m0p,P1,4150554594,9,9,1,3
19,FRST2,fg638nga2sz06m0p,P1,2237172943,14,14,1,3
20,FRST2,z7mmmq6t2sz06m0p,P1,8097417031,14,14,1,3
21,FRST2,jr1w3rmz2sz06m0p,P1,6607921254,14,14,1,3
22,FRST2,7a4kx23d2sz06m0p,P1,3300031883,7,7,1,4
23,FRST2,gnfvc5g82sz06m0p,P1,9082255647,7,7,1,4
24,FRST2,3icnt5i12sz06m0p,P1,6000313433,7,7,1,4
25,FRST2,hk7krvlb2sz06m0p,P1,8429103641,7,7,1,4
26,FRST2,e683qz8j2sz06m0p,P1,2760111784,12,20,1,4
27,FRST2,a328qrm32sz06m0p,P1,8060472588,14,20,1,4
28,FRST2,95gqdjeb2sz06m0p,P1,8684069711,8,20,1,4
29,FRST2,ne01l5ku2sz06m0p,P1,6082255450,7,20,1,4
30,FRST2,lepnjsjq2sz06m0p,P1,8232594617,8,8,1,6
31,FRST2,g11n4cl12sz06m0p,P1,8642248433,8,8,1,6
32,FRST2,jyhbz4db2sz06m0p,P1,8570855022,8,8,1,6
33,FRST2,71wplaq82sz06m0p,P1,1276129408,8,8,1,6
34,FRST2,74uopzok2sz06m0p,P1,2555370147,8,8,1,6
35,FRST2,yy857ygj2sz06m0p,P1,5101026047,8,8,1,6
36,FRST2,cp08s9pa2sz06m0p,P1,5637397636,12,12,1,6
37,FRST2,slmygbzk2sz06m0p,P1,9047884505,12,12,1,6
38,FRST2,m8q7oxo82sz06m0p,P1,6204575485,9,12,1,6
39,FRST2,uo0fsoc92sz06m0p,P1,1791603085,8,12,1,6
40,FRST2,1wvnvwf02sz06m0p,P1,1727433673,9,12,1,6
41,FRST2,h7euyiei2sz06m0p,P1,5713145960,12,12,1,6
42,FRST2,s1mhjbno2sz06m0p,P1,3284291632,11,11,1,10
43,FRST2,g62q76ss2sz06m0p,P1,5115209158,11,11,1,10
44,FRST2,rgk70qzd2sz06m0p,P1,6665624697,11,11,1,10
45,FRST2,ubeqgv2b2sz06m0p,P1,5877699225,11,11,1,10
46,FRST2,e43f0f4g2sz06m0p,P1,4394721341,11,11,1,10
47,FRST2,oj8ocrow2sz06m0p,P1,5661796817,11,11,1,10
48,FRST2,m13ivov32sz06m0p,P1,8655115442,11,11,1,10
49,FRST2,t39c2o8l2sz06m0p,P1,4898727764,11,11,1,10
50,FRST2,yd38cxak2sz06m0p,P1,5237632596,11,11,1,10
51,FRST2,dhz7jurf2sz06m0p,P1,9638376791,11,11,1,10
52,FRST2,v1t5ymoo2sz06m0p,P1,9946421289,10,10,1,12
