id,treat,code_pay,role,group,hidden_number,report1,duplicate
1,NO2,zi83sgrxdpgthewq,P1,7548441065,10,30,1
2,NO2,ej6a5jp2dpgthewq,P1,5731152218,13,13,1
3,NO2,4po98hfadpgthewq,P1,2708601318,10,10,1
4,NO2,edbnjxd9dpgthewq,P1,5485536744,8,10,1
5,NO2,symmwnhndpgthewq,P1,3210362324,26,26,1
6,NO2,8buuwincdpgthewq,P1,2932336063,10,16,1
7,NO2,3w3kv70hdpgthewq,P1,3114667393,10,10,1
8,NO2,u1af9gredpgthewq,P1,8125196507,10,10,1
9,NO2,gy455p8edpgthewq,P1,8724149925,8,8,1
10,NO2,9sw0dwl2dpgthewq,P1,6252496439,25,25,1
11,NO2,sckqeqm0dpgthewq,P1,3036911835,8,8,1
12,NO2,gfzd03a2dpgthewq,P1,3968094877,10,10,1
13,NO2,p1ywx0amdpgthewq,P1,9759126054,7,20,1
14,NO2,yo4hjdd9dpgthewq,P1,9755373976,12,20,1
15,NO2,vwgj1zubdpgthewq,P1,3670006807,21,21,1
16,NO2,n18d885hdpgthewq,P1,6754573004,10,10,1
17,NO2,khuuwpgzdpgthewq,P1,6252255930,8,8,1
18,NO2,pya4wkqjdpgthewq,P1,4560814761,7,7,1
19,NO2,xgl13ulddpgthewq,P1,4680107961,7,7,1
20,NO2,aln4noh5dpgthewq,P1,5250079998,11,11,1
21,NO2,gu6s30u7dpgthewq,P1,5241909557,8,8,1
22,NO2,vm2iz4wqdpgthewq,P1,2201775881,8,8,1
23,NO2,2comby4cdpgthewq,P1,7010764898,14,14,1
24,NO2,zxu09o27dpgthewq,P1,7070567709,14,14,1
25,NO2,20gc6b57dpgthewq,P1,7588789934,8,8,1
26,NO2,gc8sc05idpgthewq,P1,9458489348,14,14,1
27,NO2,3f167wbcdpgthewq,P1,6557527309,7,30,1
28,NO2,22hjjg7xdpgthewq,P1,2163621223,12,12,1
29,NO2,af42i4zfdpgthewq,P1,5965343869,9,9,1
30,NO2,4si4i0fzdpgthewq,P1,3048704209,12,30,1
31,NO2,wwouvr4kdpgthewq,P1,1622682627,14,14,1
32,NO2,shodbm03dpgthewq,P1,5316708389,8,8,1
33,NO2,za32gxkzdpgthewq,P1,5847971223,9,9,1
34,NO2,s9jgl9o5dpgthewq,P1,3759993171,10,30,1
35,NO2,89etzjj7dpgthewq,P1,4432816742,8,8,1
36,NO2,dlc271r2dpgthewq,P1,8576006726,7,7,1
37,NO2,mindgyvrdpgthewq,P1,1521713910,1,1,1
38,NO2,7uw95eksdpgthewq,P1,9784785454,8,8,1
39,NO2,545qhjsgdpgthewq,P1,8814208934,13,13,1
40,NO2,5n6j6vu5dpgthewq,P1,4293832176,10,10,1
41,NO2,n7f5syugdpgthewq,P1,2306599005,5,30,1
42,NO2,9eno6js3dpgthewq,P1,8427202200,14,14,1
43,NO2,mzillpdddpgthewq,P1,3304662820,8,8,1
44,NO2,63hv80mddpgthewq,P1,9234994693,13,13,1
45,NO2,9ij3iqtrdpgthewq,P1,9693192386,8,8,1
46,NO2,nws2179fdpgthewq,P1,5007183924,11,11,1
47,NO2,zbo5yingdpgthewq,P1,5646722159,9,9,1
48,NO2,06x9ksc3dpgthewq,P1,3925080287,10,10,1
49,NO2,vvghnn29dpgthewq,P1,5847216919,12,30,1
50,NO2,tdv80ccldpgthewq,P1,5895101781,10,10,1
51,NO2,8b0xcvpcdpgthewq,P1,2475831110,8,8,1
52,NO2,xfbkaht9dpgthewq,P1,9234259919,7,7,1
53,NO2,zqf30fnldpgthewq,P1,5271073119,9,9,1
54,NO2,rxj6bwdhdpgthewq,P1,1755467752,9,9,1
55,NO2,c3d2dyi9dpgthewq,P1,1538015277,8,30,1
56,NO2,fiix39rudpgthewq,P1,7512111639,9,9,1
57,NO2,yp1g1smidpgthewq,P1,5688200606,26,16,1
58,NO2,yys3beyydpgthewq,P1,9803827424,14,14,1
59,NO2,onzhbdmqdpgthewq,P1,4251117578,14,14,1
60,NO2,kluc6o86dpgthewq,P1,5357259620,8,8,1
61,NO2,ywp4t5shdpgthewq,P1,8292825256,7,7,1
62,NO2,bd04w7e9dpgthewq,P1,7586441482,10,10,1
63,NO2,jrpxpba5dpgthewq,P1,7031937706,12,12,1
64,NO2,ydsqh00hdpgthewq,P1,1139622440,11,11,1
65,NO2,5pv8utpvdpgthewq,P1,8880617544,10,15,1
66,NO2,b06v3vjzdpgthewq,P1,7526145022,10,10,1
67,NO2,4mcitbgkdpgthewq,P1,8090430645,10,10,1
68,NO2,omfsh4j7dpgthewq,P1,3106278386,5,5,1
69,NO2,5co7982qdpgthewq,P1,6206631177,2,2,1
70,NO2,gr0oj2qydpgthewq,P1,8105542289,11,11,1
71,NO2,icsm7ctgdpgthewq,P1,8695088019,10,18,1
72,NO2,9i8mho2rdpgthewq,P1,4369743860,2,2,1
73,NO2,njl2g46kdpgthewq,P1,8933426252,6,6,1
74,NO2,wfjl81fgdpgthewq,P1,6590861282,11,11,1
75,NO2,wwjat9y4dpgthewq,P1,1988658824,11,11,1
76,NO2,uct9jnu9dpgthewq,P1,5933507538,11,11,1
77,NO2,r9w8dea1dpgthewq,P1,9706853088,10,10,1
78,NO2,kvcili7pdpgthewq,P1,8009303108,11,30,1
79,NO2,kbp5y4jwdpgthewq,P1,7304977222,10,10,1
80,NO2,7sl0hrobdpgthewq,P1,7200706267,10,10,1
