id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,NO3,b8suuiqdf6r45zht,P1,5769123853,10,30,,,,30,30,,,2018-08-03 19:25:54.154443+00:00,50,Male,Non hispanic,Black/African American,37,Some college,5,"< $10,000","The effects of secrecy, financial gain and how it influences decisions.",2,I can't really think of any way.
2,NO3,whrw9vqzf6r45zht,P1,7892225507,9,9,,,,9,9,,,2018-08-03 19:28:54.990097+00:00,53,Male,Non hispanic,White,24,College diploma,25,"$60,000 - $69,999",To see how honest others were when confronted with the possibility of being unethical to earn extra money.,1,n/a
3,NO3,84lr1pd8f6r45zht,P1,1192682244,9,25,,,,30,30,,,2018-08-03 20:20:30.139885+00:00,104,Female,Hispanic,White,34,Some college,15,"$20,000 - $29,999",Will people lie for an incentive.,3,I don't know.
4,NO3,46l8wk2sf6r45zht,P1,9565743899,10,10,,,,15,20,,,2018-08-03 20:24:25.647317+00:00,46,Male,Non hispanic,White,30,Some college,20,"$40,000 - $49,999",I believe this is a probability/chance game that measures human honesty.,1,"Make the instructions a little bit clearer, but theyre ok."
5,NO3,u8mo59tsf6r45zht,P1,6285355411,11,11,,,,11,11,,,2018-08-03 20:26:41.583121+00:00,44,Male,Non hispanic,Hispanic/Latino/Latina,28,Some college,43,"< $10,000",Seeing if people pass on information correctly.,3,It was very pleasant already.
6,NO3,ues446aof6r45zht,P1,2719171035,8,8,,,,10,10,,,2018-08-03 20:36:33.859121+00:00,27,Male,Non hispanic,White,31,Some college,22,"$40,000 - $49,999",Passing along messages to earn a payment.t,2,Nothing of note
7,NO3,f3rkpmztf6r45zht,P1,3712255408,5,5,,,,8,8,,,2018-08-03 20:38:25.778628+00:00,119,Male,Non hispanic,Black/African American,29,Some college,14,"$20,000 - $29,999",How honesty and reward is effected by a person personality,2,nothing everything was simple and easy to understand
8,NO3,rgjt9voff6r45zht,P1,3542753544,9,9,,,,20,20,,,2018-08-03 22:35:48.486235+00:00,53,Male,Non hispanic,White,35,Masters degree,32,"< $10,000",I think it's about being dishonest for the greater good of mTurkers.,3,It all worked.
9,NO3,2o9yjeuxf6r45zht,P1,9740962724,9,30,,,,30,30,,,2018-08-03 22:46:20.833452+00:00,120,Male,Non hispanic,White,32,College diploma,29,"$80,000 - $99,999",It is like the telephone game. One person knows something then tells another and that person tells the another person.,2,Everything went well.
10,NO3,dydnxwapf6r45zht,P1,4465118253,3,3,,,,3,3,,,2018-08-03 22:53:19.366405+00:00,32,Female,Non hispanic,White,59,Professional post-secondary degree or doctoral degree,32,"$80,000 - $99,999",Like playing the old game of telephone except this time you type numbers on a computer instead of whispering to each other down a line. The object is to get the hidden # correctly to a third party.,1,Maybe you could have had three rounds of the game and randomly picked one to pay off on. Add a bit of surprise as to what bonus you might get. All in all though a fun and interesting survey. Thanks for letting me participate.
11,NO3,w7r5sddlf6r45zht,P1,2591280041,26,26,,,,23,26,,,2018-08-03 23:09:30.607229+00:00,42,Male,Non hispanic,White,30,Masters degree,10,"$70,000 - $79,999",the variations of a message when it has been reported by different people is to say the message may be distorted,2,explanations a little clearer
12,NO3,x8mtxy2tf6r45zht,P1,9481316386,11,30,,,,30,30,,,2018-08-03 23:46:04.532173+00:00,69,Female,Non hispanic,White,29,College diploma,10,"$30,000 - $39,999",To see how honest you really are,2,N/A
13,NO3,7svzzyzaf6r45zht,P1,9676463470,10,10,,,,10,10,,,2018-08-03 23:55:41.301848+00:00,14,Male,Non hispanic,White,23,College diploma,50,"$50,000 - $59,999",Perception of a group making a decisions based on lies or truth..,3,The experience was fine as is.
14,NO3,xevjdur6f6r45zht,P1,7039174974,20,20,,,,17,17,,,2018-08-04 00:08:57.057566+00:00,47,Male,Non hispanic,White,37,College diploma,10,"$40,000 - $49,999",No idea,1,No improvement needed
15,NO3,bb2eq55mf6r45zht,P1,9136074618,9,9,,,,9,9,,,2018-08-04 00:23:07.264521+00:00,95,Female,Non hispanic,White,29,College diploma,22,"$20,000 - $29,999",To find out how people make decisions,2,I don't think it needs improving.
16,NO3,2zi36tb0f6r45zht,P1,7846763647,25,25,,,,25,30,,,2018-08-04 00:25:55.769819+00:00,56,Female,Non hispanic,White,30,Masters degree,10,"$80,000 - $99,999",very good,1,so is very well
17,NO3,82d0zxcpf6r45zht,P1,8581150033,14,14,,,,14,30,,,2018-08-04 00:36:41.437106+00:00,66,Male,Non hispanic,White,45,College diploma,38,"< $10,000",I guess it is to test how someone would choose between doing a good job on a task (and being paid less) vs. failing at the task but earning more money.    Someone else might describe it as honesty vs. greed.    I guess it is also checking whether people early on the chain will make the decision themselves or pass it on to the last person to decide whether top report the correct answer or not.,4,"I wish the game instructions were viewable in Firefox dark background light text theme, but I had to turn it off to see everything.    I hope we get to find out what the final player actually reported, but I bet we don't?"
18,NO3,a5ue1ph4f6r45zht,P1,7333659676,8,8,,,,27,30,,,2018-08-04 00:48:22.174103+00:00,67,Male,Non hispanic,White,55,College diploma,25,"$40,000 - $49,999",The goal is to find out how truthful people are.,2,"Perhaps add a small penalty for lying, in this one there's no incentive to tell the truth."
19,NO3,7kb68lhzf6r45zht,P1,6157551924,8,8,,,,8,8,,,2018-08-04 01:44:54.999361+00:00,144,Female,Non hispanic,White,55,College diploma,10,"$50,000 - $59,999",I would say that the first goal is to try and pick the highest number,2,not sure - Interesting though!   :-)
