id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,NO3,p2session2data,P2,1054555603,1,1,1,1
2,NO3,p2session2data,P2,3844021493,4,4,1,1
3,NO3,p2session2data,P2,3712255408,5,5,1,1
4,NO3,p2session2data,P2,5464221053,7,7,1,1
5,NO3,p2session2data,P2,2457128529,10,10,1,1
6,NO3,p2session2data,P2,2926763865,13,13,1,1
7,NO3,p2session2data,P2,5307697513,7,14,1,1
8,NO3,p2session2data,P2,5925359151,25,25,1,1
9,NO3,p2session2data,P2,2591280041,26,26,1,1
10,NO3,p2session2data,P2,7648292053,21,28,1,1
11,NO3,p2session2data,P2,8002447496,6,6,1,2
12,NO3,p2session2data,P2,1678501458,6,6,1,2
13,NO3,p2session2data,P2,7333659676,8,8,1,4
14,NO3,p2session2data,P2,6157551924,8,8,1,4
15,NO3,p2session2data,P2,6963467459,8,8,1,4
16,NO3,p2session2data,P2,4570492759,8,8,1,4
17,NO3,p2session2data,P2,6157551924,8,8,2,4
18,NO3,p2session2data,P2,4570492759,8,8,2,4
19,NO3,p2session2data,P2,7333659676,8,8,2,4
20,NO3,p2session2data,P2,6963467459,8,8,2,4
21,NO3,p2session2data,P2,1678501458,6,6,2,2
22,NO3,p2session2data,P2,8002447496,6,6,2,2
23,NO3,p2session2data,P2,7648292053,21,28,2,1
24,NO3,p2session2data,P2,2591280041,26,26,2,1
25,NO3,p2session2data,P2,5925359151,25,25,2,1
26,NO3,p2session2data,P2,5307697513,7,14,2,1
27,NO3,p2session2data,P2,2926763865,13,13,2,1
28,NO3,p2session2data,P2,2457128529,10,10,2,1
29,NO3,p2session2data,P2,5464221053,7,7,2,1
30,NO3,p2session2data,P2,3712255408,5,5,2,1
31,NO3,p2session2data,P2,3844021493,4,4,2,1
32,NO3,p2session2data,P2,1054555603,1,1,2,1
