id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,NO3,p2session2data,P2,9565743899,10,10,1,1
2,NO3,p2session2data,P2,9565743899,10,10,2,1
3,NO3,p2session2data,P2,9565743899,10,10,1,1
4,NO3,p2session2data,P2,9565743899,10,10,2,1
5,NO3,p2session2data,P2,9565743899,10,10,1,1
6,NO3,p2session2data,P2,9565743899,10,10,2,1
7,NO3,p2session2data,P2,9565743899,10,10,1,1
8,NO3,p2session2data,P2,9565743899,10,10,2,1
9,NO3,p2session2data,P2,9565743899,10,10,1,1
10,NO3,p2session2data,P2,9565743899,10,10,2,1
11,NO3,p2session2data,P2,9565743899,10,10,1,1
