id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,NO3,gmh517zsf6r45zht,P1,1054555603,1,1,1,1
2,NO3,dydnxwapf6r45zht,P1,4465118253,3,3,1,1
3,NO3,n0iz16c2f6r45zht,P1,3844021493,4,4,1,1
4,NO3,f3rkpmztf6r45zht,P1,3712255408,5,5,1,1
5,NO3,riwxwdt5f6r45zht,P1,2926763865,13,13,1,1
6,NO3,gavavbj0f6r45zht,P1,6697391444,10,19,1,1
7,NO3,xxpctaalf6r45zht,P1,5367672198,2,24,1,1
8,NO3,w7r5sddlf6r45zht,P1,2591280041,26,26,1,1
9,NO3,ok5v1klsf6r45zht,P1,2021258976,7,7,1,2
10,NO3,kao8obf4f6r45zht,P1,5464221053,7,7,1,2
11,NO3,qazudw8cf6r45zht,P1,4907012256,12,12,1,2
12,NO3,fw96be41f6r45zht,P1,1913439920,12,12,1,2
13,NO3,xevjdur6f6r45zht,P1,7039174974,20,20,1,2
14,NO3,lugtioa1f6r45zht,P1,6476176649,8,20,1,2
15,NO3,v1iw0tltf6r45zht,P1,8991207068,22,22,1,2
16,NO3,p3czubfvf6r45zht,P1,6644590601,22,22,1,2
17,NO3,fonp0v4lf6r45zht,P1,7648292053,21,28,1,2
18,NO3,as1j6xzpf6r45zht,P1,9723877291,7,28,1,2
19,NO3,4c5rbq29f6r45zht,P1,8002447496,6,6,1,4
20,NO3,t7p8kl72f6r45zht,P1,1678501458,6,6,1,4
21,NO3,3bi1srxuf6r45zht,P1,2649241439,6,6,1,4
22,NO3,bdhpjggif6r45zht,P1,8280702973,6,6,1,4
23,NO3,uwhvqcfaf6r45zht,P1,4672965260,14,14,1,4
24,NO3,82d0zxcpf6r45zht,P1,8581150033,14,14,1,4
25,NO3,xluffu17f6r45zht,P1,5307697513,7,14,1,4
26,NO3,6zu669xhf6r45zht,P1,8591978710,14,14,1,4
27,NO3,sypxbu6uf6r45zht,P1,5925359151,25,25,1,4
28,NO3,2zi36tb0f6r45zht,P1,7846763647,25,25,1,4
29,NO3,84lr1pd8f6r45zht,P1,1192682244,9,25,1,4
30,NO3,84llq0wtf6r45zht,P1,5023460939,5,25,1,4
31,NO3,a5ue1ph4f6r45zht,P1,7333659676,8,8,1,7
32,NO3,7kb68lhzf6r45zht,P1,6157551924,8,8,1,7
33,NO3,pwqbq852f6r45zht,P1,4570492759,8,8,1,7
