id,treat,code_pay,role,group,hidden_number,report1,report2,report3,belief1,belief2,belief3,belief_observed,observed,start_time,chosen_card,gender,ethnicity,race,age,education,state,income,q1,q2,q3
1,VCTM2,31sdrwsi4ygiji6h,P1,3862409078,11,11,,,,16,,Obseerved,,2018-08-03 18:53:33.321110+00:00,7,Male,Non hispanic,White,28,High school or equivalent,50,"$20,000 - $29,999",To check how well people can follow directions.,3,Seemed fine to me.
2,VCTM2,o1tp6k804ygiji6h,P1,4704196699,7,7,,,,7,,Obseerved,,2018-08-03 18:54:34.641139+00:00,86,Female,Non hispanic,White,28,College diploma,47,"$20,000 - $29,999",I honestly have no idea what the goal is. I understand the process but I don't quite understand the goal of it,2,"It was pleasant and ran well. Overall it was a good experience, don't worry about improvement"
3,VCTM2,adkknln84ygiji6h,P1,2995592613,25,25,,,,25,,Obseerved,,2018-08-03 19:23:51.118699+00:00,56,Male,Non hispanic,Black/African American,28,College diploma,30,"$30,000 - $39,999",The goal of the study is to see how people act in a decision making task where someone might have to suffer as a result of another's greed.,2,Make the questions' font size larger.
4,VCTM2,f0cdenk24ygiji6h,P1,9689053200,12,12,,,,12,,Unobserved,,2018-08-03 19:29:36.814688+00:00,54,Female,Non hispanic,White,23,Some college,1,"$10,000 - $19,999",Choosing a believable number,1,Make the quiz a little easier to get into it
5,VCTM2,w3fw5trv4ygiji6h,P1,4723678247,11,30,,,,30,,Obseerved,,2018-08-03 19:44:42.343078+00:00,34,Male,Non hispanic,Black/African American,33,College diploma,5,"$20,000 - $29,999",The goal is to see if two people will be fair to a third person who has no control in the scenario.,3,The instructions could have been shorter and more concise.
6,VCTM2,bmxeltvr4ygiji6h,P1,7040798630,11,11,,,,11,,Unobserved,,2018-08-03 20:08:30.601565+00:00,69,Male,Non hispanic,White,28,College diploma,5,"$60,000 - $69,999",please be positive to display the correct number,1,none
7,VCTM2,m1mj6pd04ygiji6h,P1,2636262415,26,30,,,,30,,Obseerved,,2018-08-03 20:11:26.241262+00:00,42,Male,Non hispanic,Black/African American,27,College diploma,36,"$20,000 - $29,999",opinions,1,nothing
8,VCTM2,td97bvxl4ygiji6h,P1,2959807603,10,10,,,,10,,Obseerved,,2018-08-03 21:32:29.662699+00:00,43,Female,Non hispanic,White,34,College diploma,6,"< $10,000",To see how honest people are in playing this game.,3,The instructions were pretty confusing.
9,VCTM2,09lj4lrm4ygiji6h,P1,4989705749,8,8,,,,8,,Obseerved,,2018-08-03 21:35:23.981256+00:00,45,Male,Non hispanic,Black/African American,22,High school or equivalent,42,"< $10,000",Trust in a group,3,None
10,VCTM2,zojjqbcd4ygiji6h,P1,9173462475,11,28,,,,28,,Obseerved,,2018-08-03 22:28:49.676183+00:00,69,Male,Non hispanic,Black/African American,50,Professional post-secondary degree or doctoral degree,5,"$20,000 - $29,999",seeing if we cheat to get more money?,5,most convoluted instruction ever. could be simplified significantly.
