id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,VCTM2,p2session2data,P2,9433135329,2,2,1,2,1
2,VCTM2,p2session2data,P2,1102954606,9,16,1,11,1
3,VCTM2,p2session2data,P2,1163424283,21,21,1,4,1
4,VCTM2,p2session2data,P2,2555844261,10,24,1,5,1
5,VCTM2,p2session2data,P2,9173462475,11,28,1,14,1
6,VCTM2,p2session2data,P2,1549102309,9,30,1,56,1
7,VCTM2,p2session2data,P2,3586570780,13,13,1,9,2
8,VCTM2,p2session2data,P2,2546683242,13,13,1,10,2
9,VCTM2,p2session2data,P2,6294273637,7,20,1,15,2
10,VCTM2,p2session2data,P2,1661641404,8,20,1,16,2
11,VCTM2,p2session2data,P2,5803413177,25,25,1,,2
12,VCTM2,p2session2data,P2,2995592613,25,25,1,20,2
13,VCTM2,p2session2data,P2,9949078882,6,6,1,32,3
14,VCTM2,p2session2data,P2,9886438161,6,6,1,33,3
15,VCTM2,p2session2data,P2,6848695283,6,6,1,30,3
16,VCTM2,p2session2data,P2,9731029279,10,10,1,53,3
17,VCTM2,p2session2data,P2,2959807603,10,10,1,51,3
18,VCTM2,p2session2data,P2,7596150213,10,10,1,54,3
19,VCTM2,p2session2data,P2,8002770216,14,14,1,25,3
20,VCTM2,p2session2data,P2,4878771562,14,14,1,27,3
21,VCTM2,p2session2data,P2,8851947150,14,14,1,28,3
22,VCTM2,p2session2data,P2,9229543956,9,9,1,41,4
23,VCTM2,p2session2data,P2,6093880680,9,9,1,42,4
24,VCTM2,p2session2data,P2,3571142735,9,9,1,44,4
25,VCTM2,p2session2data,P2,9493799419,9,9,1,47,4
26,VCTM2,p2session2data,P2,7452977423,12,12,1,,4
27,VCTM2,p2session2data,P2,9689053200,12,12,1,22,4
28,VCTM2,p2session2data,P2,8969867207,12,12,1,21,4
29,VCTM2,p2session2data,P2,1875620736,12,12,1,24,4
30,VCTM2,p2session2data,P2,4368069289,7,7,1,,5
31,VCTM2,p2session2data,P2,2121995682,7,7,1,,5
32,VCTM2,p2session2data,P2,6015727752,7,7,1,67,5
33,VCTM2,p2session2data,P2,7878492185,7,7,1,63,5
34,VCTM2,p2session2data,P2,4207726966,7,7,1,,5
35,VCTM2,p2session2data,P2,4989705749,8,8,1,36,5
36,VCTM2,p2session2data,P2,4790423992,8,8,1,39,5
37,VCTM2,p2session2data,P2,9539062804,8,8,1,34,5
38,VCTM2,p2session2data,P2,4213470115,8,8,1,37,5
39,VCTM2,p2session2data,P2,8584578950,8,8,1,,5
40,VCTM2,p2session2data,P2,8863244995,11,11,1,,10
41,VCTM2,p2session2data,P2,9476534030,11,11,1,,10
42,VCTM2,p2session2data,P2,5492786804,11,11,1,,10
43,VCTM2,p2session2data,P2,9502517222,11,11,1,,10
44,VCTM2,p2session2data,P2,3862409078,11,11,1,,10
45,VCTM2,p2session2data,P2,3372576530,11,11,1,,10
46,VCTM2,p2session2data,P2,2557874328,11,11,1,,10
47,VCTM2,p2session2data,P2,7271878225,11,11,1,,10
48,VCTM2,p2session2data,P2,7040798630,11,11,1,,10
49,VCTM2,p2session2data,P2,6586489182,11,11,1,,10
