id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,VCTM2,p2session2data,P2,6015727752,7,7,1,17,1
2,VCTM2,p2session2data,P2,9229543956,9,9,1,1,1
3,VCTM2,p2session2data,P2,8969867207,12,12,1,2,1
4,VCTM2,p2session2data,P2,2546683242,13,13,1,3,1
5,VCTM2,p2session2data,P2,1102954606,9,16,1,4,1
6,VCTM2,p2session2data,P2,2555844261,10,24,1,,1
7,VCTM2,p2session2data,P2,5803413177,25,25,1,14,1
8,VCTM2,p2session2data,P2,1549102309,9,30,1,6,1
9,VCTM2,p2session2data,P2,9886438161,6,6,1,7,2
10,VCTM2,p2session2data,P2,6848695283,6,6,1,8,2
11,VCTM2,p2session2data,P2,4878771562,14,14,1,11,2
12,VCTM2,p2session2data,P2,8002770216,14,14,1,,2
13,VCTM2,p2session2data,P2,8584578950,8,8,1,,4
14,VCTM2,p2session2data,P2,4213470115,8,8,1,,4
15,VCTM2,p2session2data,P2,4790423992,8,8,1,22,4
16,VCTM2,p2session2data,P2,9539062804,8,8,1,19,4
17,VCTM2,p2session2data,P2,3862409078,11,11,1,31,5
18,VCTM2,p2session2data,P2,5492786804,11,11,1,27,5
19,VCTM2,p2session2data,P2,6586489182,11,11,1,25,5
20,VCTM2,p2session2data,P2,2557874328,11,11,1,26,5
21,VCTM2,p2session2data,P2,8863244995,11,11,1,28,5
