id,treat,code_pay,role,group,hidden_number,report1,duplicate,id_play,ranking
1,VCTM2,p2session5data,P2,6015727752,7,7,1,1,1
2,VCTM2,p2session5data,P2,8969867207,12,12,1,3,1
3,VCTM2,p2session5data,P2,2555844261,10,24,1,6,1
4,VCTM2,p2session5data,P2,9539062804,8,8,1,,4
5,VCTM2,p2session5data,P2,8584578950,8,8,1,,4
6,VCTM2,p2session5data,P2,4213470115,8,8,1,,4
7,VCTM2,p2session5data,P2,4790423992,8,8,1,,4
8,VCTM2,p2session5data,P2,6586489182,11,11,1,,5
9,VCTM2,p2session5data,P2,5492786804,11,11,1,,5
10,VCTM2,p2session5data,P2,8863244995,11,11,1,,5
11,VCTM2,p2session5data,P2,2557874328,11,11,1,,5
12,VCTM2,p2session5data,P2,3862409078,11,11,1,,5
13,VCTM2,p2session5data,P2,3862409078,11,11,2,,5
14,VCTM2,p2session5data,P2,2557874328,11,11,2,,5
15,VCTM2,p2session5data,P2,5492786804,11,11,2,,5
16,VCTM2,p2session5data,P2,8863244995,11,11,2,,5
17,VCTM2,p2session5data,P2,6586489182,11,11,2,,5
18,VCTM2,p2session5data,P2,9539062804,8,8,2,,4
19,VCTM2,p2session5data,P2,4790423992,8,8,2,,4
20,VCTM2,p2session5data,P2,4213470115,8,8,2,,4
21,VCTM2,p2session5data,P2,8584578950,8,8,2,,4
22,VCTM2,p2session5data,P2,2555844261,10,24,2,6,1
23,VCTM2,p2session5data,P2,8969867207,12,12,2,3,1
24,VCTM2,p2session5data,P2,6015727752,7,7,2,1,1
