id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM3,p2session2data,P2,7285394057,6,6,1,1
2,VCTM3,p2session2data,P2,5940284493,10,10,1,1
3,VCTM3,p2session2data,P2,5434840864,11,11,1,1
4,VCTM3,p2session2data,P2,6725039433,20,20,1,1
5,VCTM3,p2session2data,P2,8336963149,22,22,1,1
6,VCTM3,p2session2data,P2,2041558150,11,28,1,1
7,VCTM3,p2session2data,P2,8749843287,7,7,1,2
8,VCTM3,p2session2data,P2,2323589030,7,7,1,2
9,VCTM3,p2session2data,P2,6363223281,13,13,1,2
10,VCTM3,p2session2data,P2,7879072030,13,13,1,2
11,VCTM3,p2session2data,P2,5860424248,14,14,1,2
12,VCTM3,p2session2data,P2,5404696637,14,14,1,2
13,VCTM3,p2session2data,P2,3348292343,10,18,1,2
14,VCTM3,p2session2data,P2,1531254326,13,18,1,2
15,VCTM3,p2session2data,P2,4641707896,9,9,1,4
16,VCTM3,p2session2data,P2,9487939433,9,9,1,4
17,VCTM3,p2session2data,P2,2120168633,9,9,1,4
18,VCTM3,p2session2data,P2,2780375113,9,9,1,4
19,VCTM3,p2session2data,P2,2268325067,10,12,1,4
20,VCTM3,p2session2data,P2,2143382220,8,12,1,4
21,VCTM3,p2session2data,P2,3771112010,12,12,1,4
22,VCTM3,p2session2data,P2,4217674473,11,12,1,4
23,VCTM3,p2session2data,P2,2268325067,10,12,2,4
24,VCTM3,p2session2data,P2,2143382220,8,12,2,4
25,VCTM3,p2session2data,P2,4217674473,11,12,2,4
26,VCTM3,p2session2data,P2,3771112010,12,12,2,4
27,VCTM3,p2session2data,P2,9487939433,9,9,2,4
28,VCTM3,p2session2data,P2,2780375113,9,9,2,4
29,VCTM3,p2session2data,P2,2120168633,9,9,2,4
30,VCTM3,p2session2data,P2,4641707896,9,9,2,4
31,VCTM3,p2session2data,P2,1531254326,13,18,2,2
32,VCTM3,p2session2data,P2,3348292343,10,18,2,2
33,VCTM3,p2session2data,P2,5860424248,14,14,2,2
34,VCTM3,p2session2data,P2,5404696637,14,14,2,2
35,VCTM3,p2session2data,P2,7879072030,13,13,2,2
36,VCTM3,p2session2data,P2,6363223281,13,13,2,2
37,VCTM3,p2session2data,P2,2323589030,7,7,2,2
38,VCTM3,p2session2data,P2,8749843287,7,7,2,2
39,VCTM3,p2session2data,P2,2041558150,11,28,2,1
40,VCTM3,p2session2data,P2,8336963149,22,22,2,1
41,VCTM3,p2session2data,P2,6725039433,20,20,2,1
42,VCTM3,p2session2data,P2,5434840864,11,11,2,1
43,VCTM3,p2session2data,P2,5940284493,10,10,2,1
44,VCTM3,p2session2data,P2,7285394057,6,6,2,1
