id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM3,p2session2data,P2,7879072030,13,13,1,1
2,VCTM3,p2session2data,P2,1531254326,13,18,1,1
3,VCTM3,p2session2data,P2,8336963149,22,22,1,1
4,VCTM3,p2session2data,P2,5682660772,7,7,1,2
5,VCTM3,p2session2data,P2,8749843287,7,7,1,2
6,VCTM3,p2session2data,P2,4217674473,11,12,1,2
7,VCTM3,p2session2data,P2,3771112010,12,12,1,2
8,VCTM3,p2session2data,P2,4641707896,9,9,1,3
9,VCTM3,p2session2data,P2,3673477777,9,9,1,3
10,VCTM3,p2session2data,P2,4326117282,9,9,1,3
11,VCTM3,p2session2data,P2,3673477777,9,9,2,3
12,VCTM3,p2session2data,P2,4326117282,9,9,2,3
13,VCTM3,p2session2data,P2,4641707896,9,9,2,3
14,VCTM3,p2session2data,P2,3771112010,12,12,2,2
15,VCTM3,p2session2data,P2,4217674473,11,12,2,2
16,VCTM3,p2session2data,P2,8749843287,7,7,2,2
17,VCTM3,p2session2data,P2,5682660772,7,7,2,2
18,VCTM3,p2session2data,P2,8336963149,22,22,2,1
19,VCTM3,p2session2data,P2,1531254326,13,18,2,1
20,VCTM3,p2session2data,P2,7879072030,13,13,2,1
