id,treat,code_pay,role,group,hidden_number,report1,duplicate,ranking
1,VCTM3,p2session2data,P2,8749843287,7,7,1,1
2,VCTM3,p2session2data,P2,7879072030,13,13,1,1
3,VCTM3,p2session2data,P2,1531254326,13,18,1,1
4,VCTM3,p2session2data,P2,8336963149,22,22,1,1
5,VCTM3,p2session2data,P2,8336963149,22,22,2,1
6,VCTM3,p2session2data,P2,1531254326,13,18,2,1
7,VCTM3,p2session2data,P2,7879072030,13,13,2,1
8,VCTM3,p2session2data,P2,8749843287,7,7,2,1
9,VCTM3,p2session2data,P2,8749843287,7,7,1,1
10,VCTM3,p2session2data,P2,7879072030,13,13,1,1
11,VCTM3,p2session2data,P2,1531254326,13,18,1,1
12,VCTM3,p2session2data,P2,8336963149,22,22,1,1
